batch ID	cram_in	cram_in ID
6000022	6000022_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G2JBb1jJkF69qjgQ50z3F50F
6000036	6000036_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyZ6y30JkF69qqPP23p3kBKG
6000045	6000045_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G225zY8JkF607xJ5BxGZpxXG
6000058	6000058_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G2vk1z8JkF6J4xvz3yPy33g2
6000067	6000067_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyxvXxQJkF66P1XbB4vXqXYv
6000089	6000089_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyYXqZQJkF6K0vXk7Q4qxkpY
6000090	6000090_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fy9xBBQJkF68GqYz1Ky77jx2
6000106	6000106_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FxZjZzjJkF617JVg3gpXb77b
6000133	6000133_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyJBZJ0JkF68817F55Vvzvqx
6000185	6000185_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fyzgx78JkF66V1K16f3gXF9b
6000235	6000235_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fy3J9FQJkF6192qk4gK34yf2
6000244	6000244_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G293xfQJkF6FVB0041yFGXB5
6000261	6000261_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fz3pb50JkF6BB30766B321yv
6000299	6000299_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FxVQFb8JkF64ZZKv1B2V2QpG
6000353	6000353_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FxfQ118JkF66YvYPFz8GGb35
6000362	6000362_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G2z7kbjJkF65KxKb8G8Zkgz1
6000386	6000386_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fz3PFgjJkF63GVF694ppVXp9
6000395	6000395_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FxvJB7jJkF6KZy2g2z2zz7Q7
6000404	6000404_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fy2Y5Z8JkF6KZKbBKx868QVQ
6000429	6000429_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G231Bp0JkF69x6fz5X3fQV4q
6000431	6000431_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fy9qP28JkF6418B073fgf0zV
6000447	6000447_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyXx8y8JkF6G8xQ74P4fgGbz
6000530	6000530_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G239j8QJkF6B2fYP4ggKg5KY
6000541	6000541_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-Fz3b818JkF6GjkY93v9Q31v0
6000577	6000577_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyQ5KY8JkF6Jqpq95bPkYqGg
6000588	6000588_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G2PQfYjJkF65Xqvg86K9Yzv2
6000601	6000601_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyyV4b8JkF6K4ZJ4PYZ26Zzk
6000634	6000634_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G235ZY0JkF6F611FKg0v9361
6000655	6000655_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-G2VV1yQJkF6J8v9y9Qv7b6q6
6000693	6000693_23193_0_0.cram	project-G428g40Jf312vx5727kY9KXZ:file-FyJQP08JkF6F65Z65xg5vKG4
